Text;Date;Time;Draft;Facebook;Twitter/X;LinkedIn;GBP;Instagram;Pinterest;TikTok;Youtube;Threads;Bluesky;Picture Url 1;Picture Url 2;Picture Url 3;Picture Url 4;Picture Url 5;Picture Url 6;Picture Url 7;Picture Url 8;Picture Url 9;Picture Url 10;Alt text picture 1;Alt text picture 2;Alt text picture 3;Alt text picture 4;Alt text picture 5;Alt text picture 6;Alt text picture 7;Alt text picture 8;Alt text picture 9;Alt text picture 10;Document title;Shortener;Video Thumbnail Url;Video Cover Frame;Twitter/X Can reply;Twitter/X Type;Twitter/X Poll Duration minutes;Twitter/X Poll Option 1;Twitter/X Poll Option 2;Twitter/X Poll Option 3;Twitter/X Poll Option 4;Pinterest Board;Pinterest Pin Title;Pinterest Pin Link;Pinterest Pin New Format;Instagram Post Type;Instagram Show Reel On Feed;Instagram Trial Reel Share Automatically;Youtube Video Title;Youtube Video Type;Youtube Video Privacy;Youtube video for kids;Youtube AI generated content;Youtube Video Category;Youtube Video Tags;Youtube playlist;GBP Post Type;Facebook Post Type;Facebook Title;First Comment Text;TikTok Title;TikTok disable comments;TikTok disable duet;TikTok disable stitch;TikTok Post Privacy;TikTok Branded Content;TikTok Your Brand;TikTok Auto Add Music;TikTok Photo Cover Index;TikTok musicId;TikTok music title;TikTok music author;TikTok music previewUrl;TikTok music thumbnailUrl;TikTok music soundVolume;TikTok music originalVolume;TikTok music startMillis;TikTok music endMillis;TikTok Ai generated content;LinkedIn Type;LinkedIn Poll Question;LinkedIn Poll Option 1;LinkedIn Poll Option 2;LinkedIn Poll Option 3;LinkedIn Poll Option 4;LinkedIn Poll Duration;LinkedIn Show link preview;LinkedIn Images as Carousel;Threads Reply Control;Threads Is Spoiler;Threads Post Type;Brand name
"Pulido y Vitrificado Profesional de Pavimentos 🏛️✨

En América Pulido SPA ejecutamos tratamientos integrales de nivelado, pulido y vitrificado para la restauración de pisos desgastados por el uso continuo.

🔹 Metodología Limpia: Incorporamos unidades de aspirado industrial acoplado para minimizar la emisión de partículas durante la faena.

📲 Solicite su evaluación presencial en la Región Metropolitana al WhatsApp +56 9 7868 5664.

#PulidoDePisos #Vitrificado #Restauracion #PisosChile #AmericaPulido";"26/08/2026";"20:00:00";false;true;false;false;false;true;false;false;false;false;false;"https://files.catbox.moe/oxieec.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";true;"";"";"";"";"";"";"";"";"";"";"";"";false;"POST";"";"";"";"";"";false;false;"";"";"";"";"POST";"";"";"";false;false;false;"PUBLIC_TO_EVERYONE";false;false;false;"0";"";"";"";"";"";"";"";"";"";false;"";"";"";"";"";"";"";false;false;"";false;"";""
"Restauración y Vitrificado de Pisos de Madera de Alto Estándar 🪵✨

Devolvemos la nobleza y textura original a sus pavimentos de madera y parquet mediante procesos de desbaste diamantado y aplicación de sellantes de alta resistencia.

🔹 Preservación del Entorno: Metodología limpia que mitiga la emisión de partículas en suspensión y protege sus ambientes.

📲 Consultas y Cotizaciones: Escríbanos directamente al WhatsApp +56 9 7868 5664.

#ParquetChile #PisosDeMadera #VitrificadoProfesional #RemodelacionSantiago #LasCondes #AmericaPulido";"28/08/2026";"20:00:00";false;true;false;false;false;true;false;false;false;false;false;"https://files.catbox.moe/kgr9wz.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";true;"";"";"";"";"";"";"";"";"";"";"";"";false;"POST";"";"";"";"";"";false;false;"";"";"";"";"POST";"";"";"";false;false;false;"PUBLIC_TO_EVERYONE";false;false;false;"0";"";"";"";"";"";"";"";"";"";false;"";"";"";"";"";"";"";false;false;"";false;"";""
"Renovación de Parquet y Pisos Nobles 🪵🏠

El paso de los años opaca la madera original de su propiedad. Con nuestra tecnología de restauración diamantada y vitrificado, recuperamos su color y protección sin necesidad de reemplazo.

🔹 Proceso limpio y controlado con aspiración continua acoplada a la maquinaria.

📲 Agende su evaluación técnica gratuita al WhatsApp +56 9 7868 5664.

#RestauracionDePisos #ParquetSantiago #PisosDeMadera #Providencia #Vitacura #AmericaPulido";"30/08/2026";"11:00:00";false;true;false;false;false;true;false;false;false;false;false;"https://files.catbox.moe/1zcs2a.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";true;"";"";"";"";"";"";"";"";"";"";"";"";false;"POST";"";"";"";"";"";false;false;"";"";"";"";"POST";"";"";"";false;false;false;"PUBLIC_TO_EVERYONE";false;false;false;"0";"";"";"";"";"";"";"";"";"";false;"";"";"";"";"";"";"";false;false;"";false;"";""
"Protección y Sellado de Madera de Alta Resistencia 🪵🛡️

Aplicación de barnices vitrificantes de alto tráfico con acabados mate, satinado o brillante según la arquitectura de su inmueble.

🔹 Máxima durabilidad contra la humedad, rayones y desgaste diario.

📲 Cotice con nuestros especialistas al WhatsApp +56 9 7868 5664.

#VitrificadoChile #PisosResidenciales #RemodelacionCasa #SantiagoOriente #AmericaPulido";"31/08/2026";"20:00:00";false;true;false;false;false;true;false;false;false;false;false;"https://files.catbox.moe/d2uhr1.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";true;"";"";"";"";"";"";"";"";"";"";"";"";false;"POST";"";"";"";"";"";false;false;"";"";"";"";"POST";"";"";"";false;false;false;"PUBLIC_TO_EVERYONE";false;false;false;"0";"";"";"";"";"";"";"";"";"";false;"";"";"";"";"";"";"";false;false;"";false;"";""
"Tratamiento Especializado y Refinado Diamantado de Mármol 🏛️💎

El mármol requiere intervenciones técnicas orientadas a corregir la porosidad y recuperar su nivel de reflectividad natural.

🔹 Proceso en Húmedo: Refinado de superficie con supresión de polvo para garantizar acabados cristalinos y duraderos.

📲 Coordine su visita técnica sin costo en la Región Metropolitana al WhatsApp +56 9 7868 5664.

#MarmolChile #PulidoDeMarmol #PisosDeLujo #DiseñoDeInteriores #Vitacura #AmericaPulido";"02/09/2026";"20:00:00";false;true;false;false;false;true;false;false;false;false;false;"https://files.catbox.moe/rhzgrz.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";true;"";"";"";"";"";"";"";"";"";"";"";"";false;"POST";"";"";"";"";"";false;false;"";"";"";"";"POST";"";"";"";false;false;false;"PUBLIC_TO_EVERYONE";false;false;false;"0";"";"";"";"";"";"";"";"";"";false;"";"";"";"";"";"";"";false;false;"";false;"";""
"Hormigón Armado y Pavimentos de Alto Tráfico ⚙️🏭

Preparación y tratamiento de pisos de hormigón en instalaciones comerciales, oficinas y bodegas industriales.

🔹 Superficie Antipolvo: Densificado y sellado que incrementa la resistencia mecánica y facilita la mantenibilidad.

📲 Contacto corporativo directo al WhatsApp +56 9 7868 5664.

#HormigonPulido #PisosIndustriales #ConstruccionChile #BodegasSantiago #AmericaPulido";"04/09/2026";"08:00:00";false;true;false;false;false;true;false;false;false;false;false;"https://files.catbox.moe/2g4wir.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";true;"";"";"";"";"";"";"";"";"";"";"";"";false;"POST";"";"";"";"";"";false;false;"";"";"";"";"POST";"";"";"";false;false;false;"PUBLIC_TO_EVERYONE";false;false;false;"0";"";"";"";"";"";"";"";"";"";false;"";"";"";"";"";"";"";false;false;"";false;"";""
"Restauración Técnica de Baldosas Graníticas y Terrazos 🏢✨

Recuperación del color original, brillo y protección de superficies desgastadas por el tránsito frecuente.

🔹 Proceso controlado sin generación de residuos molestos para sus espacios.

📲 Consulte por su superficie escribiendo al WhatsApp +56 9 7868 5664.

#BaldosasGraniticas #TerrazosChile #RestauracionPisos #SantiagoChile #AmericaPulido";"06/09/2026";"11:00:00";false;true;false;false;false;true;false;false;false;false;false;"https://files.catbox.moe/n29aum.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";true;"";"";"";"";"";"";"";"";"";"";"";"";false;"POST";"";"";"";"";"";false;false;"";"";"";"";"POST";"";"";"";false;false;false;"PUBLIC_TO_EVERYONE";false;false;false;"0";"";"";"";"";"";"";"";"";"";false;"";"";"";"";"";"";"";false;false;"";false;"";""
"Limpieza Profunda e Higienización de Alfombras 🧼🏠

Servicio complementario de sanitización y lavado profundo de alfombras para residencias, oficinas y espacios comerciales.

🔹 Eliminación de manchas y renovación de fibras para un ambiente fresco.

📲 Agende su servicio al WhatsApp +56 9 7868 5664.

#LavadoDeAlfombras #LimpiezaProfesional #OficinasSantiago #MantencionHogar #AmericaPulido";"07/09/2026";"20:00:00";false;true;false;false;false;true;false;false;false;false;false;"https://files.catbox.moe/fauzyg.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";true;"";"";"";"";"";"";"";"";"";"";"";"";false;"POST";"";"";"";"";"";false;false;"";"";"";"";"POST";"";"";"";false;false;false;"PUBLIC_TO_EVERYONE";false;false;false;"0";"";"";"";"";"";"";"";"";"";false;"";"";"";"";"";"";"";false;false;"";false;"";""
"Sistemas Integrales: Pulido, Sellado y Vitrificado 🏛️🛡️

El tratamiento adecuado transforma la terminación estética y prolonga la vida útil de cualquier superficie.

🔹 Evaluación presencial sin costo para determinar el esquema diamantado correcto.

📲 Escríbanos al WhatsApp +56 9 7868 5664.

#PulidoDePisos #PisosBrillantes #SantiagoRM #Remodelacion #AmericaPulido";"09/09/2026";"20:00:00";false;true;false;false;false;true;false;false;false;false;false;"https://files.catbox.moe/cj849b.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";true;"";"";"";"";"";"";"";"";"";"";"";"";false;"POST";"";"";"";"";"";false;false;"";"";"";"";"POST";"";"";"";false;false;false;"PUBLIC_TO_EVERYONE";false;false;false;"0";"";"";"";"";"";"";"";"";"";false;"";"";"";"";"";"";"";false;false;"";false;"";""
"Terminaciones de Alto Brillo y Larga Durabilidad 💎✨

Nuestros procesos aseguran resistencia frente al tráfico continuo y fácil conservación diaria.

🔹 Trabajos limpios con contención de residuos en obra o vivienda.

📲 Cotización inmediata al WhatsApp +56 9 7868 5664.

#PisosDuraderos #PisosImpecables #VitrificadoProfesional #AmericaPulido";"11/09/2026";"20:00:00";false;true;false;false;false;true;false;false;false;false;false;"https://files.catbox.moe/lpo77g.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";true;"";"";"";"";"";"";"";"";"";"";"";"";false;"POST";"";"";"";"";"";false;false;"";"";"";"";"POST";"";"";"";false;false;false;"PUBLIC_TO_EVERYONE";false;false;false;"0";"";"";"";"";"";"";"";"";"";false;"";"";"";"";"";"";"";false;false;"";false;"";""
